scenario_id,frag,shock,K,move_cost,champ_biomass,ref_biomass,delta,champ_cv,ref_cv
0,0.2,0.05,80.0,0.1,80.78280476344605,80.17107628730855,0.6117284761375004,0.003183961040125898,0.00733508413909271
1,0.2,0.05,80.0,0.3,80.78280476344605,80.17107628730855,0.6117284761375004,0.003183961040125898,0.00733508413909271
2,0.2,0.05,150.0,0.1,151.31647669420107,150.1588530291244,1.1576236650766702,0.010541447371012522,0.016148299794329978
3,0.2,0.05,150.0,0.3,151.31647669420107,150.1588530291244,1.1576236650766702,0.010541447371012522,0.016148299794329978
4,0.2,0.2,80.0,0.1,80.78280468494341,80.17106948178052,0.611735203162894,0.0031839611133424386,0.00733510411396234
5,0.2,0.2,80.0,0.3,80.78280468494341,80.17106948178052,0.611735203162894,0.0031839611133424386,0.00733510411396234
6,0.2,0.2,150.0,0.1,151.31647648596345,150.15883519786527,1.1576412880981763,0.010541447286974873,0.016148315015522007
7,0.2,0.2,150.0,0.3,151.31647648596345,150.15883519786527,1.1576412880981763,0.010541447286974873,0.016148315015522007
8,0.5,0.05,80.0,0.1,80.78287916178992,80.17759688235249,0.6052822794374322,0.003186572234976295,0.006924687272342573
9,0.5,0.05,80.0,0.3,80.78287916178992,80.17759688235249,0.6052822794374322,0.003186572234976295,0.006924687272342573
10,0.5,0.05,150.0,0.1,151.31662421951486,150.17158769203067,1.1450365274841943,0.010539194116089145,0.015795896775188757
11,0.5,0.05,150.0,0.3,151.31662421951486,150.17158769203067,1.1450365274841943,0.010539194116089145,0.015795896775188757
12,0.5,0.2,80.0,0.1,80.78287908734727,80.17759042507477,0.6052886622724998,0.003186572304238214,0.006924706422296279
13,0.5,0.2,80.0,0.3,80.78287908734727,80.17759042507477,0.6052886622724998,0.003186572304238214,0.006924706422296279
14,0.5,0.2,150.0,0.1,151.31662402204512,150.17157076246878,1.1450532595763434,0.010539194036162072,0.01579591054072364
15,0.5,0.2,150.0,0.3,151.31662402204512,150.17157076246878,1.1450532595763434,0.010539194036162072,0.01579591054072364
